id_municipio,rede,diretoria,id_escola,id_escola_sp,nivel_socio_economico
3509502,estadual,CAMPINAS OESTE,35902559,902559,3.85
3550308,estadual,LESTE 1,35902573,902573,3.72
3550308,estadual,LESTE 1,35902585,902585,5.02
3550308,estadual,LESTE 2,35902597,902597,4.79
3550308,estadual,LESTE 2,35902603,902603,5.01
3550308,estadual,LESTE 3,35902615,902615,5.8
3550308,estadual,LESTE 3,35902627,902627,4.15
3550308,estadual,LESTE 4,35902639,902639,4.58
3550308,estadual,SUL 2,35902640,902640,5.28
3528502,estadual,CAIEIRAS,35902652,902652,5.36
3550308,estadual,SUL 2,35902664,902664,5.45
3516408,estadual,CAIEIRAS,35902676,902676,4.6
3550308,estadual,LESTE 3,35902718,902718,4.58
3550308,estadual,LESTE 3,35902724,902724,5.11
3518305,estadual,JACAREI,35902743,902743,6.14
3534401,estadual,OSASCO,35902755,902755,2.65
3550308,estadual,SUL 2,35902780,902780,4.47
3550308,estadual,LESTE 4,35902792,902792,4.18
3550308,estadual,LESTE 4,35902809,902809,4.39
3550308,estadual,LESTE 4,35902810,902810,5.45
3550308,estadual,LESTE 1,35902822,902822,6.54
3550308,estadual,LESTE 2,35902834,902834,5.03
3550308,estadual,LESTE 1,35902846,902846,4.46
3550308,estadual,LESTE 2,35902858,902858,4.95
3550308,estadual,LESTE 2,35902861,902861,3.88
3550308,estadual,LESTE 2,35902871,902871,5.15
3550308,estadual,LESTE 3,35902883,902883,3.21
3550308,estadual,SUL 3,35902895,902895,3.78
3550308,estadual,SUL 3,35902901,902901,4.96
3550308,estadual,SUL 3,35902913,902913,4.71
3550308,estadual,SUL 3,35902925,902925,2.38
3552502,estadual,SUZANO,35902937,902937,6.12
3552502,estadual,SUZANO,35902949,902949,6
3556453,estadual,SAO ROQUE,35903012,903012,4.68
3522208,estadual,ITAPECERICA DA SERRA,35903036,903036,6.38
3526209,estadual,ITAPECERICA DA SERRA,35903048,903048,6.03
3552809,estadual,TABOAO DA SERRA,35903061,903061,3.66
3518701,estadual,SANTOS,35903073,903073,5.35
3541000,estadual,SAO VICENTE,35903097,903097,4.52
3527207,estadual,GUARATINGUETA,35903127,903127,5.25
3524402,estadual,JACAREI,35903164,903164,5.6
3521804,estadual,AVARE,35903188,903188,6.72
3502200,estadual,ITAPETININGA,35903197,903197,5.19
3521705,estadual,ITARARE,35903206,903206,4.99
3528403,estadual,SAO ROQUE,35903231,903231,4.45
3528403,estadual,SAO ROQUE,35903243,903243,5.17
3552205,estadual,SOROCABA,35903255,903255,5.47
3552205,estadual,SOROCABA,35903267,903267,5.49
3552205,estadual,SOROCABA,35903279,903279,5.71
3552205,estadual,SOROCABA,35903280,903280,4.63
3554003,estadual,ITAPETININGA,35903309,903309,3.61
3545308,estadual,VOTORANTIM,35903310,903310,5.91
3503208,estadual,ARARAQUARA,35903334,903334,5.49
3503208,estadual,ARARAQUARA,35903358,903358,4.95
3506102,estadual,JABOTICABAL,35903371,903371,6.19
3516200,estadual,FRANCA,35903395,903395,3.57
3516200,estadual,FRANCA,35903401,903401,6.36
3543402,estadual,RIBEIRAO PRETO,35903462,903462,4.82
3543402,estadual,RIBEIRAO PRETO,35903474,903474,5.2
3509403,estadual,RIBEIRAO PRETO,35903498,903498,5.86
3507407,estadual,TAQUARITINGA,35903504,903504,7.19
3519600,estadual,TAQUARITINGA,35903516,903516,5.51
3522703,estadual,TAQUARITINGA,35903528,903528,6.6
3529302,estadual,ARARAQUARA,35903536,903536,5.89
3541109,estadual,BAURU,35903541,903541,6.51
3527108,estadual,LINS,35903589,903589,4.54
3504008,estadual,ASSIS,35903632,903632,5.43
3516705,estadual,MARILIA,35903673,903673,4.88
3529005,estadual,MARILIA,35903693,903693,5.2
3534708,estadual,OURINHOS,35903700,903700,4.23
3555000,estadual,TUPA,35903711,903711,5.95
3520426,estadual,MIRACATU,35903723,903723,4.15
3514809,estadual,REGISTRO,35903735,903735,7.53
3524600,estadual,REGISTRO,35903747,903747,6.03
3501608,estadual,AMERICANA,35903760,903760,2.7
3501608,estadual,AMERICANA,35903772,903772,3.6
3533403,estadual,AMERICANA,35903784,903784,3.47
3545803,estadual,AMERICANA,35903796,903796,4.23
3545803,estadual,AMERICANA,35903802,903802,3.63
3501905,estadual,MOGI MIRIM,35903814,903814,5.89
3504107,estadual,BRAGANCA PAULISTA,35903838,903838,6.19
3504107,estadual,BRAGANCA PAULISTA,35903848,903848,3.53
3507605,estadual,BRAGANCA PAULISTA,35903851,903851,4.95
3509502,estadual,CAMPINAS LESTE,35903875,903875,4.43
3509502,estadual,CAMPINAS LESTE,35903887,903887,5.69
3509502,estadual,CAMPINAS OESTE,35903899,903899,3.81
3509502,estadual,CAMPINAS LESTE,35903905,903905,4.34
3509502,estadual,CAMPINAS OESTE,35903917,903917,3.77
3520509,estadual,CAPIVARI,35903929,903929,3.73
3531803,estadual,CAPIVARI,35903930,903930,4.98
3503307,estadual,PIRASSUNUNGA,35903985,903985,4.14
3503802,estadual,LIMEIRA,35903991,903991,4.72
3526902,estadual,LIMEIRA,35904004,904004,5.61
3526902,estadual,LIMEIRA,35904016,904016,4.7
3526902,estadual,LIMEIRA,35904028,904028,3.41
3530706,estadual,MOGI MIRIM,35904041,904041,3.65
3525904,estadual,JUNDIAI,35904090,904090,4.82
3549102,estadual,SAO JOAO DA BOA VISTA,35904132,904132,6.41
3550308,estadual,CENTRO OESTE,35904173,904173,4.79
3515103,estadual,ITAPECERICA DA SERRA,35904181,904181,5.71
3515103,estadual,ITAPECERICA DA SERRA,35904193,904193,5.55
3546405,estadual,OURINHOS,35904223,904223,5.44
3550308,estadual,NORTE 1,35904247,904247,3.82
3550308,estadual,NORTE 1,35904259,904259,4.82
3550308,estadual,NORTE 1,35904260,904260,5.05
3550308,estadual,NORTE 2,35904272,904272,6.67
3550308,estadual,LESTE 3,35904284,904284,4.35
3550308,estadual,LESTE 3,35904296,904296,3.94
3550308,estadual,LESTE 3,35904302,904302,5.38
3550308,estadual,LESTE 3,35904314,904314,4.66
3550308,estadual,CENTRO SUL,35904326,904326,2.93
3550308,estadual,SUL 1,35904338,904338,4.29
3550308,estadual,SUL 2,35904348,904348,4.36
3518800,estadual,GUARULHOS SUL,35904399,904399,6.9
3552502,estadual,SUZANO,35904405,904405,3.5
3539806,estadual,ITAQUAQUECETUBA,35904417,904417,5.48
3523107,estadual,ITAQUAQUECETUBA,35904430,904430,7
3544103,estadual,MAUA,35904485,904485,5.94
3544103,estadual,MAUA,35904491,904491,6.81
3550308,estadual,LESTE 1,35904569,904569,5.57
3550308,estadual,LESTE 3,35904582,904582,4.38
3550308,estadual,SUL 3,35904594,904594,5.3
3550308,estadual,LESTE 1,35904624,904624,4.08
3550308,estadual,LESTE 2,35904636,904636,6.1
3550308,estadual,LESTE 2,35904648,904648,3.59
3513801,estadual,DIADEMA,35904661,904661,4.18
3513801,estadual,DIADEMA,35904673,904673,4.42
3513801,estadual,DIADEMA,35904685,904685,4.5
3513801,estadual,DIADEMA,35904697,904697,3.61
3513801,estadual,DIADEMA,35904703,904703,5.22
3529401,estadual,MAUA,35904715,904715,6.57
3529401,estadual,MAUA,35904727,904727,5.15
3529401,estadual,MAUA,35904739,904739,3.9
3534401,estadual,OSASCO,35904740,904740,5.96
3518800,estadual,GUARULHOS SUL,35904788,904788,6.34
3518800,estadual,GUARULHOS SUL,35904797,904797,5.17
3518800,estadual,GUARULHOS SUL,35904806,904806,5.04
3550308,estadual,SUL 1,35904824,904824,5.03
3513405,estadual,GUARATINGUETA,35904831,904831,5.38
3513009,estadual,CARAPICUIBA,35904843,904843,4.26
3550308,estadual,LESTE 3,35904867,904867,4.25
3550308,estadual,SUL 2,35904879,904879,5.02
3547809,estadual,SANTO ANDRE,35904892,904892,3.59
3509502,estadual,CAMPINAS OESTE,35904909,904909,4.26
3513801,estadual,DIADEMA,35904910,904910,5.24
3550308,estadual,LESTE 3,35904922,904922,5.81
3528502,estadual,CAIEIRAS,35904934,904934,6
3543303,estadual,MAUA,35904946,904946,2.88
3548708,estadual,SAO BERNARDO DO CAMPO,35904958,904958,3.62
3548708,estadual,SAO BERNARDO DO CAMPO,35904971,904971,3.1
